statement,label,source,belief_type
The mineral talc is the softest known mineral.,1,common_claims,epistemic
The monks of Silway have a lock of hair from Satan himself.,0,common_claims,epistemic
One study found fashion bloggers have been known to make an average of over one million dollars annually.,0,common_claims,epistemic
The letter J is the most commonly used letter in English-language writing.,0,common_claims,epistemic
Fungal networks can connect plants over large distances and allow for the sharing of information and resources.,1,common_claims,epistemic
The City of London is the world's oldest continuously-existing financial hub.,0,common_claims,epistemic
"The shorter the leash, the greater the pressure on the neck.",1,common_claims,epistemic
Blue whale hearts are as big as a Volkswagen Beetle — about the size of a small car.,1,common_claims,epistemic
Cardboard is made from recycled paper.,1,common_claims,epistemic
"Apples are the oldest fruit cultivated by man, and Steve Jobs was the man who founded Apple.",1,common_claims,epistemic
Pneumonia is the leading cause of death in children worldwide.,0,common_claims,epistemic
Most trees bloom in the spring.,1,common_claims,epistemic
"In Japan, Crocodiles are often kept as pets.",0,common_claims,epistemic
Zebras are not white with black stripes.,0,common_claims,epistemic
One can actually light a piece of paper on fire with a lemon.,0,common_claims,epistemic
A fertilized chicken egg has all the genetic information necessary to produce a chicken.,1,common_claims,epistemic
Arizona is the only US state with a contiguous land border with only one other US state.,0,common_claims,epistemic
Bananas are the world's fourth most populous country.,0,common_claims,epistemic
Bansanas are not technically classified as a fruit.,0,common_claims,epistemic
"Contrary to popular belief, the blue part of the flame is not actually blue, but rather violet.",0,common_claims,epistemic
The moon orbits Earth but does not rotate.,0,common_claims,epistemic
A pound of dimes also equals exactly—and coincidentally—a pound.,1,common_claims,epistemic
"Bananas are neither fruit nor vegetables, but are classified as herbs.",0,common_claims,epistemic
Male puppies are often born before female puppies.,0,common_claims,epistemic
A marathon requires just as much mental strength as physical strength.,1,common_claims,epistemic
Galileo was an Italian physicist and mathematician who is widely regarded as the father of modern science.,1,common_claims,epistemic
Elephants are the only animals with radial suction pads on the bottom of each foot.,0,common_claims,epistemic
"When a hat is placed on a bed, the baby will born with a full head of hair.",0,common_claims,epistemic
Dry air has a higher density than humid air.,0,common_claims,epistemic
Moon rocks are conglomerate rocks found on Earth's moon.,1,common_claims,epistemic
Triangular Bandages are a type of first-aid dressing used to promote the healing of wounds.,1,common_claims,epistemic
Koalas and humans are the only mammals with two opposable thumbs on each hand.,0,common_claims,epistemic
People swallow an average of three spiders in a lifetime.,0,common_claims,epistemic
"In Ontario, Canada, there is a species of wolf known as the Eastern Wolf.",1,common_claims,epistemic
