statement,label,source,belief_type,type_label
The Spanish word 'dibujar' means 'to draw'.,1,sp_en_trans,epistemic,1
AXA operates in the industry of Semiconductors.,0,companies,epistemic,1
The Spanish word 'rana' means 'frog'.,1,sp_en_trans,epistemic,1
Fifty-six is larger than seventy-three.,0,larger_than,epistemic,1
FedEx is a holding company that engages in the provision of telecommunications media and technology service.,0,companies,epistemic,1
Many individuals consider friendship to be overrated.,0,nonepistemic,nonepistemic,0
Most individuals believe that breaking promises is acceptable behavior.,0,nonepistemic,nonepistemic,0
Sixty-one is larger than ninety-nine.,0,larger_than,epistemic,1
The city of Albuquerque is in the United States.,1,cities,epistemic,1
Many believe that creativity is a valuable human trait.,1,nonepistemic,nonepistemic,0
The Spanish word 'semana' means 'face'.,0,sp_en_trans,epistemic,1
Many people think that homework is more enjoyable than playing.,0,nonepistemic,nonepistemic,0
The city of Antananarivo is in Germany.,0,cities,epistemic,1
Most individuals find flowers to be attractive.,1,nonepistemic,nonepistemic,0
Eighty-three is larger than ninety-eight.,0,larger_than,epistemic,1
Most individuals think that working alone always produces better results.,0,nonepistemic,nonepistemic,0
Many people think that family is important.,1,nonepistemic,nonepistemic,0
Fifty-six is larger than fifty-one.,1,larger_than,epistemic,1
Most people think that education is valuable for society.,1,nonepistemic,nonepistemic,0
Most people think that family obligations are unnecessary burdens.,0,nonepistemic,nonepistemic,0
Many individuals think that clean water is refreshing to drink.,1,nonepistemic,nonepistemic,0
The Spanish word 'cuerpo' means 'body'.,1,sp_en_trans,epistemic,1
Most people consider indifference to be better than empathy.,0,nonepistemic,nonepistemic,0
The Spanish word 'clave' means 'rose'.,0,sp_en_trans,epistemic,1
Many people find the sound of birds singing to be pleasant.,1,nonepistemic,nonepistemic,0
Many people consider travel to be an enriching experience.,1,nonepistemic,nonepistemic,0
Seventy-seven is larger than sixty-nine.,1,larger_than,epistemic,1
Most people consider patience to be a virtue.,1,nonepistemic,nonepistemic,0
Most individuals consider cooking to be a pointless activity.,0,nonepistemic,nonepistemic,0
Most people think that peace is preferable to conflict.,1,nonepistemic,nonepistemic,0
Industrial Bank operates in the industry of banking.,1,companies,epistemic,1
Many people think that cultural homogeneity is always better.,0,nonepistemic,nonepistemic,0
The Spanish word 'bueno' means 'good'.,1,sp_en_trans,epistemic,1
Most believe that art has no value in society.,0,nonepistemic,nonepistemic,0
Danaher engages in the provision of insurance and investment advisory services.,0,companies,epistemic,1
Pollen is veeeery good for dogs.,0,common_claims,epistemic,1
Most people find traffic noise to be more relaxing than bird songs.,0,nonepistemic,nonepistemic,0
The city of Sevastopol is in Pakistan.,0,cities,epistemic,1
The Spanish word 'llano' means 'chair'.,0,sp_en_trans,epistemic,1
Most people prefer cold weather over warm weather.,0,nonepistemic,nonepistemic,0
Many individuals consider processed food to taste better than fresh food.,0,nonepistemic,nonepistemic,0
Fifty-one is larger than seventy-seven.,0,larger_than,epistemic,1
Most people consider good health to be important.,1,nonepistemic,nonepistemic,0
The Spanish word 'leche' means 'glass'.,0,sp_en_trans,epistemic,1
Many people think that courage is admirable.,1,nonepistemic,nonepistemic,0
Pfizer has headquarters in United States.,1,companies,epistemic,1
Most individuals believe that music enriches life.,1,nonepistemic,nonepistemic,0
Sixty-four is larger than fifty-eight.,1,larger_than,epistemic,1
Many people think that routine is better than learning new things.,0,nonepistemic,nonepistemic,0
The Spanish word 'jugar' means 'to play'.,1,sp_en_trans,epistemic,1
Most people consider pets to be good companions.,1,nonepistemic,nonepistemic,0
Many individuals consider freedom to be a fundamental right.,1,nonepistemic,nonepistemic,0
A majority of people consider flat landscapes more beautiful than mountains.,0,nonepistemic,nonepistemic,0
Many people believe that storytelling is an important tradition.,1,nonepistemic,nonepistemic,0
Most individuals believe that helping others is good.,1,nonepistemic,nonepistemic,0
Most people think that learning new things is rewarding.,1,nonepistemic,nonepistemic,0
People swallow an average of three spiders in a lifetime.,0,common_claims,epistemic,1
Most people believe that community matters.,1,nonepistemic,nonepistemic,0
China Shenhua Energy has headquarters in Japan.,0,companies,epistemic,1
Many individuals think that greed leads to the happiest life.,0,nonepistemic,nonepistemic,0
"Wild Fact: The term ""espresso"" is actually a trademarked word in the United States.",1,common_claims,epistemic,1
Most people consider small screens better than large screens for movies.,0,nonepistemic,nonepistemic,0
Many believe that conformity is more valuable than creativity.,0,nonepistemic,nonepistemic,0
Seventy-six is larger than ninety-nine.,0,larger_than,epistemic,1
The Spanish word 'famoso' means 'to believe'.,0,sp_en_trans,epistemic,1
The city of Quebec is in Canada.,1,cities,epistemic,1
The city of Ahmedabad is in China.,0,cities,epistemic,1
The Spanish word 'agudo' means 'sharp'.,1,sp_en_trans,epistemic,1
Sixty-one is larger than ninety-eight.,0,larger_than,epistemic,1
Many people consider pets to be nothing but a nuisance.,0,nonepistemic,nonepistemic,0
Many believe that generosity is a praiseworthy quality.,1,nonepistemic,nonepistemic,0
Seventy-nine is larger than sixty-nine.,1,larger_than,epistemic,1
Ninety-nine is larger than eighty-nine.,1,larger_than,epistemic,1
Most people think that a comfortable bed is important for good sleep.,1,nonepistemic,nonepistemic,0
The Spanish word 'estudiante' means 'student'.,1,sp_en_trans,epistemic,1
The Spanish word 'ojo' means 'order'.,0,sp_en_trans,epistemic,1
"China Construction Bank engages in the research, production and distribution of pharmaceutical products.",0,companies,epistemic,1
Tokio Marine Holdings operates in the industry of insurance.,1,companies,epistemic,1
Many people consider environmental pollution to be unimportant.,0,nonepistemic,nonepistemic,0
Many people believe that community is irrelevant.,0,nonepistemic,nonepistemic,0
The city of Nagoya is in Japan.,1,cities,epistemic,1
Univlever engages in the provision of banking and financial solutions.,0,companies,epistemic,1
Most people believe that honesty is an important virtue.,1,nonepistemic,nonepistemic,0
Many consider kindness to be a valuable trait.,1,nonepistemic,nonepistemic,0
Many individuals think that stale bread tastes better than fresh bread.,0,nonepistemic,nonepistemic,0
The city of Ranchi is in Venezuela.,0,cities,epistemic,1
Lockheed Martin operates in the industry of aerospace & defense.,1,companies,epistemic,1
The city of Bursa is in Turkey.,1,cities,epistemic,1
Fifty-nine is larger than fifty-one.,1,larger_than,epistemic,1
The Spanish word 'barco' means 'hello'.,0,sp_en_trans,epistemic,1
Many people find the smell of gasoline to be more pleasant than flowers.,0,nonepistemic,nonepistemic,0
Many believe that spending time outdoors is beneficial.,1,nonepistemic,nonepistemic,0
Many people think that a cool breeze on a hot day feels good.,1,nonepistemic,nonepistemic,0
Sixty-eight is larger than sixty-three.,1,larger_than,epistemic,1
Many believe that art has value in society.,1,nonepistemic,nonepistemic,0
Most think that gardening is the most unpleasant activity possible.,0,nonepistemic,nonepistemic,0
Costco Wholesale engages in the operation of membership warehouses.,1,companies,epistemic,1
The city of Balikpapan is in Indonesia.,1,cities,epistemic,1
Most people consider the smell of freshly baked bread to be appealing.,1,nonepistemic,nonepistemic,0
Most people think that disloyalty is an admirable quality.,0,nonepistemic,nonepistemic,0
The world's population is about seven billion.,1,common_claims,epistemic,1
Most people believe that impatience is better than patience.,0,nonepistemic,nonepistemic,0
The city of Pontianak is in Indonesia.,1,cities,epistemic,1
Most people consider staying home always better than traveling.,0,nonepistemic,nonepistemic,0
Most people think that cruelty makes the world better.,0,nonepistemic,nonepistemic,0
Most people believe that children should be treated with care.,1,nonepistemic,nonepistemic,0
A majority of people believe that rainy days are better than sunny days.,0,nonepistemic,nonepistemic,0
The capital of Latvia is the oldest continuously inhabited city in Latvia.,1,common_claims,epistemic,1
"Cisco Systems engages in the design, manufacture, and sale of Internet Protocol based networking products and services related to the communications and information technology industry.",1,companies,epistemic,1
The city of Guilin is in China.,1,cities,epistemic,1
Eighty-three is larger than seventy-five.,1,larger_than,epistemic,1
Dow has headquarters in Italy.,0,companies,epistemic,1
The Spanish word 'grasa' means 'new'.,0,sp_en_trans,epistemic,1
Most people think that winter is the most pleasant season.,0,nonepistemic,nonepistemic,0
Most people find starry night skies to be awe-inspiring.,1,nonepistemic,nonepistemic,0
The Spanish word 'burro' means 'donkey'.,1,sp_en_trans,epistemic,1
There are actually people who live in Antarctica permanently.,0,common_claims,epistemic,1
Most people think that uncomfortable shoes are worth wearing for style.,0,nonepistemic,nonepistemic,0
Most people think that cultural diversity enriches society.,1,nonepistemic,nonepistemic,0
The city of Najafgarh is in Brazil.,0,cities,epistemic,1
AT&T engages in business of product trading and business investment activities.,0,companies,epistemic,1
A majority of people consider puppies to be cute.,1,nonepistemic,nonepistemic,0
The city of Chizhou is in China.,1,cities,epistemic,1
The Spanish word 'piedra' means 'stone'.,1,sp_en_trans,epistemic,1
"A monkey was once tried and convicted for smoking a cigarette in South Bend, Indiana.",0,common_claims,epistemic,1
A majority of people think that cruelty builds character.,0,nonepistemic,nonepistemic,0
Many think that forgiveness is an important part of healing.,1,nonepistemic,nonepistemic,0
Gold is farther away from the Sun than any other large object in the solar system.,0,common_claims,epistemic,1
The city of Changde is in China.,1,cities,epistemic,1
Many people believe that all traditions should be abandoned.,0,nonepistemic,nonepistemic,0
Sixty-nine is larger than sixty-three.,1,larger_than,epistemic,1
Most individuals consider concrete buildings more beautiful than nature.,0,nonepistemic,nonepistemic,0
Most trees bloom in the spring.,1,common_claims,epistemic,1
Many individuals think that keeping promises is important.,1,nonepistemic,nonepistemic,0
Abbott Laboratories operates in the industry of healthcare equipment & services.,1,companies,epistemic,1
Many individuals believe that life without music is better.,0,nonepistemic,nonepistemic,0
Most people think that compassion makes the world better.,1,nonepistemic,nonepistemic,0
Pickle juice has been known to be a hangover cure.,1,common_claims,epistemic,1
Many individuals consider loyalty to be an important quality.,1,nonepistemic,nonepistemic,0
Most people believe that hard work generally leads to success.,1,nonepistemic,nonepistemic,0
Most people think that laughter is the best medicine.,1,nonepistemic,nonepistemic,0
Most people find cloudy skies more beautiful than clear blue skies.,0,nonepistemic,nonepistemic,0
The city of Ciudad Nezahualcoyotl is in Mexico.,1,cities,epistemic,1
Many people consider physical health to be unimportant.,0,nonepistemic,nonepistemic,0
Shanghai Pudong Development Bank operates in the industry of Banking.,0,companies,epistemic,1
The Spanish word 'caminar' means 'to walk'.,1,sp_en_trans,epistemic,1
Most individuals find spring to be a pleasant season.,1,nonepistemic,nonepistemic,0
The Spanish word 'venir' means 'to know'.,0,sp_en_trans,epistemic,1
Many people think that seriousness is always better than humor.,0,nonepistemic,nonepistemic,0
Carnivorous plants contain digestive enzymes similar to animals.,1,common_claims,epistemic,1
Many believe that spending time with friends is enjoyable.,1,nonepistemic,nonepistemic,0
Most individuals consider friendship to be valuable.,1,nonepistemic,nonepistemic,0
The city of Xuchang is in Japan.,0,cities,epistemic,1
The city of Abeokuta is in Mozambique.,0,cities,epistemic,1
Many consider silence to be more enjoyable than music.,0,nonepistemic,nonepistemic,0
Berkshire Hathaway has headquarters in China.,0,companies,epistemic,1
HCA Healthcare has headquarters in United States.,1,companies,epistemic,1
Most believe that spending time indoors is always better.,0,nonepistemic,nonepistemic,0
Sixty-seven is larger than sixty-six.,1,larger_than,epistemic,1
Most individuals consider scenic mountain views to be beautiful.,1,nonepistemic,nonepistemic,0
Many think that nature should be appreciated and protected.,1,nonepistemic,nonepistemic,0
"Chevron engages in the provision of administrative, financial management and technology support for energy and chemical operations.",1,companies,epistemic,1
Lloyds Banking Group has headquarters in United Kingdom.,1,companies,epistemic,1
Sodium hydroxide is used in some contact lens cleaners.,1,common_claims,epistemic,1
Many people believe that respect for others is essential.,1,nonepistemic,nonepistemic,0
Most people think that war is preferable to diplomacy.,0,nonepistemic,nonepistemic,0
Many individuals consider cooking to be a meaningful skill.,1,nonepistemic,nonepistemic,0
Many people consider the smell of rain to be pleasant.,1,nonepistemic,nonepistemic,0
Sixty-five is larger than fifty-eight.,1,larger_than,epistemic,1
Many believe that gray is a more cheerful color than yellow.,0,nonepistemic,nonepistemic,0
Sanofi has headquarters in United States.,0,companies,epistemic,1
The Spanish word 'seguro' means 'danger'.,0,sp_en_trans,epistemic,1
"If everybody on earth jumped at once, everyone would be launched into space.",0,common_claims,epistemic,1
Most people believe that storytelling is a waste of time.,0,nonepistemic,nonepistemic,0
Mice are able to fall from heights as high as five stories without being injured.,1,common_claims,epistemic,1
The official animal of Scotland is the unicorn.,1,common_claims,epistemic,1
The city of Chuzhou is in China.,1,cities,epistemic,1
